title,body,author,slug,image,alt,tags
article1,article1.html,Holly Foat,articles/article1,article1.jpg,article1,"1,2,3"
article2,article2.html,Megan Collins Quinlan,articles/article2,article2.jpg,article2,"1,2,3"
article3,article3.html,Megan Collins Quinlan,articles/article3,article3.jpg,article3,"1,2,3"
article4,article4.html,Holly Foat,articles/article4,article4.jpg,article4,"1,2,3"
article5,article5.html,Megan Collins Quinlan,articles/article5,article5.jpg,article5,"1,2,3"
article6,article6.html,Megan Collins Quinlan,articles/article6,article6.jpg,article6,"2,3,4"
article7,article7.html,Megan Collins Quinlan,articles/article7,article7.jpg,article7,"2,3,4"
article8,article8.html,Megan Collins Quinlan,articles/article8,article8.jpg,article8,"2,3,4"
article9,article9.html,Megan Collins Quinlan,articles/article9,article9.jpg,article9,"2,3,4"
article10,article10.html,Megan Collins Quinlan,articles/article10,article10.jpg,article10,"2,3,4"
article11,article11.html,Megan Collins Quinlan,articles/article11,article11.jpg,article11,"2,3,4"
article12,article12.html,Megan Collins Quinlan,articles/article12,article12.jpg,article12,"2,3,4"
